Date;Close;Volume;Market Cap
2021-07-16;0,8126;457749814;5144300696
2021-07-17;0,8015;421592446;5073693574
2021-07-18;0,7955;404667080;5035683648
2021-07-19;0,7307;393350081;4645741183
2021-07-20;0,6901;953798836;4387449150
2021-07-21;0,888;2106021346;5652787334
2021-07-22;0,8806;1369987199;5619401920
2021-07-23;0,9492;984378205;6070073154
2021-07-24;0,9493;769444027;6070681183
2021-07-25;0,9399;600985079;6010689354
2021-07-26;1,02;1931636034;6509111187
2021-07-27;1,04;1313155904;6657692700
2021-07-28;1,02;927615842;6509734863
2021-07-29;1,03;469026617;6575516318
2021-07-30;1,07;718792140;6870657182
2021-07-31;1,08;667661361;6955736121
2021-08-01;1,05;797582648;6761867778
2021-08-02;1,05;570342629;6744801648
2021-08-03;1,02;467084981;6555677725
2021-08-04;1,05;518285126;6773732418
2021-08-05;1,06;621282689;6852638069
2021-08-06;1,08;603613586;6954804417
2021-08-07;1,17;1110079229;7503796940
2021-08-08;1,08;703610531;6968322214
2021-08-09;1,13;736205594;7269558633
2021-08-10;1,16;827611523;7462673073
2021-08-11;1,37;2204620649;8855027842
2021-08-12;1,32;1812149732;8516258275
2021-08-13;1,51;1667275350;9773028332
2021-08-14;1,44;1077737165;9311712850
2021-08-15;1,47;872957127;9471115312
2021-08-16;1,43;1227247699;9219703422
2021-08-17;1,35;1252398476;8730436321
2021-08-18;1,34;1067665316;8645108040
2021-08-19;1,47;996384921;9489378481
2021-08-20;1,55;1297684727;10028512557
2021-08-21;1,58;1570905054;10236676950
2021-08-22;1,63;1161537492;10502778102
2021-08-23;1,62;991583514;10510132606
2021-08-24;1,47;1042021630;9552787630
2021-08-25;1,53;889188383;9884462557
2021-08-26;1,38;909479259;8924411907
2021-08-27;1,52;992502714;9816722708
2021-08-28;1,46;685991618;9443737717
2021-08-29;1,42;643115451;9203224390
2021-08-30;1,31;852170692;8510907549
2021-08-31;1,34;1024769364;8686403316
2021-09-01;1,47;1549697810;9570461338
2021-09-02;1,45;1176106004;9546907569
2021-09-03;1,46;945475604;9629370083
2021-09-04;1,73;2259132026;11464607886
2021-09-05;1,68;2222482139;11104723326
2021-09-06;1,64;1604856454;10929903457
2021-09-07;1,35;2936052984;9004161851
2021-09-08;1,33;2142597087;8865417446
2021-09-09;1,37;1705671098;9094952423
2021-09-10;1,30;1487477154;8677792167
2021-09-11;1,32;926297392;8750903088
2021-09-12;1,33;808860700;8845817240
2021-09-13;1,25;962125239;8299475053
2021-09-14;1,32;906693116;8759684725
2021-09-15;1,42;858891824;9422141505
2021-09-16;1,38;1223168231;9203989736
2021-09-17;1,42;1109643018;9462470594
2021-09-18;1,37;816580424;9088654830
2021-09-19;1,31;654857399;8744754197
2021-09-20;1,13;1277440802;7492992447
2021-09-21;1,05;1167943054;6964301401
2021-09-22;1,23;1077491930;8190009646
2021-09-23;1,23;739360694;8153019234
2021-09-24;1,13;882273994;7509829440
2021-09-25;1,12;692984880;7488158389
2021-09-26;1,12;793300901;7493094871
2021-09-27;1,09;642955331;7250745514
2021-09-28;1,05;555507935;7008286327
2021-09-29;1,10;579309057;7335636437
2021-09-30;1,13;625455858;7520409633
2021-10-01;1,27;954137490;8448436246
2021-10-02;1,30;867675302;8651419019
2021-10-03;1,33;830568657;8843328492
2021-10-04;1,27;809824205;8486562679
2021-10-05;1,31;736824008;8771030099
2021-10-06;1,26;865263448;8391375159
2021-10-07;1,28;833762688;8517244891
2021-10-08;1,34;1257107167;9030525455
2021-10-09;1,35;764580435;9078312485
2021-10-10;1,25;677169882;8386485915
2021-10-11;1,24;639348221;8356585685
2021-10-12;1,22;713982715;8225259911
2021-10-13;1,24;623087088;8341171937
2021-10-14;1,26;612129553;8488597474
2021-10-15;1,58;4474715079;10640233066
2021-10-16;1,51;1446888418;10122263515
2021-10-17;1,46;776742623;9788926945
2021-10-18;1,48;1543649297;9940688185
2021-10-19;1,47;819724131;9892220415
2021-10-20;1,53;927562804;10295221995
2021-10-21;1,50;1126211523;10144077151
2021-10-22;1,51;929627491;10240841242
2021-10-23;1,64;1350704371;11105411109
2021-10-24;1,57;940179787;10644264143
2021-10-25;1,67;1015203405;11325440336
2021-10-26;1,74;1906328412;11741916782
2021-10-27;1,76;3398874364;11921285965
2021-10-28;2,13;3884078138;14439135355
2021-10-29;2,02;2750490936;13706915331
2021-10-30;1,87;1433364582;12672655949
2021-10-31;1,94;1537180900;13126444169
2021-11-01;1,90;1201666926;12915427641
2021-11-02;1,94;1218148029;13143419747
